Sequence 1,Sequence 2,LCS Value,Time (s)
Seq3,Seq62,1320,1.23565
Seq3,Seq49,1378,1.92364
Seq3,Seq64,1395,1.25039
Seq3,Seq63,2,1.33773
Seq3,Seq65,1322,1.24388
Seq3,Seq66,1327,1.25085
Seq3,Seq67,1383,1.24663
Seq3,Seq68,1382,1.24674
Seq3,Seq69,0,1.34761
Seq3,Seq74,1304,1.23705
Seq3,Seq72,1335,1.26021
Seq3,Seq76,1320,1.23223
Seq3,Seq73,1328,1.26146
Seq3,Seq70,0,1.37016
Seq3,Seq78,1251,1.18417
Seq3,Seq71,0,1.34927
Seq3,Seq75,0,1.30289
Seq3,Seq77,0,1.28626
Seq3,Seq79,1310,1.24456
Seq3,Seq80,1322,1.24282
Seq3,Seq81,1321,1.26374
Seq3,Seq82,1330,1.25722
Seq3,Seq83,1310,1.25574
Seq3,Seq84,0,1.33827
Seq3,Seq88,1330,1.26192
Seq3,Seq85,2,1.3521
Seq3,Seq92,0,1.29806
Seq3,Seq86,0,1.35645
Seq3,Seq87,0,1.37035
Seq3,Seq89,0,1.36727
Seq3,Seq93,0,1.32565
Seq3,Seq91,0,1.36115
Seq3,Seq90,0,1.37123
Seq3,Seq94,0,1.29889
Seq3,Seq95,0,1.29427
Seq3,Seq96,0,1.36251
Seq3,Seq105,0,0.60246
Seq3,Seq106,0,0.62065
Seq3,Seq107,0,0.61958
Seq3,Seq108,0,0.62526
Seq3,Seq104,0,0.76819
Seq3,Seq97,0,1.34864
Seq3,Seq109,0,0.74395
Seq3,Seq110,0,0.72447
Seq3,Seq111,0,0.75982
Seq3,Seq98,0,1.3643
Seq3,Seq99,0,1.35678
Seq3,Seq112,0,0.7156
Seq3,Seq124,0,0.15382
Seq3,Seq100,0,1.34617
Seq3,Seq102,0,1.30948
Seq3,Seq101,0,1.34542
Seq3,Seq114,0,0.6453
Seq3,Seq125,0,0.15236
Seq3,Seq126,0,0.15265
Seq3,Seq115,0,0.64437
Seq3,Seq116,0,0.6882
Seq3,Seq103,0,1.35968
Seq3,Seq113,0,0.74864
Seq3,Seq127,0,0.15276
Seq3,Seq128,0,0.15271
Seq3,Seq118,0,0.68689
Seq3,Seq119,0,0.68384
Seq3,Seq120,0,0.6827
Seq3,Seq117,0,0.71752
Seq3,Seq123,0,0.61726
Seq3,Seq121,0,0.7618
Seq3,Seq122,0,0.76805
Seq3,Seq130,0,0.60304
Seq3,Seq131,0,0.62063
Seq3,Seq132,0,0.61943
Seq3,Seq133,0,0.62476
Seq3,Seq129,0,0.7673
Seq3,Seq135,0,0.72688
Seq3,Seq134,0,0.74674
Seq3,Seq139,0,0.65276
Seq3,Seq137,0,0.71696
Seq3,Seq140,0,0.64537
Seq3,Seq136,0,0.76026
Seq3,Seq141,0,0.68361
Seq3,Seq138,0,0.74968
Seq3,Seq155,0,0.15289
Seq3,Seq142,0,0.71829
Seq3,Seq143,0,0.68977
Seq3,Seq144,0,0.68549
Seq3,Seq145,0,0.68123
Seq3,Seq148,0,0.61449
Seq3,Seq146,0,0.76157
Seq3,Seq147,0,0.76099
Seq3,Seq149,0,0.68931
Seq3,Seq154,0,0.61564
Seq3,Seq156,0,0.58661
Seq3,Seq153,0,0.64539
Seq3,Seq152,0,0.653
Seq3,Seq150,0,0.71866
Seq3,Seq151,0,0.72757
Seq3,Seq162,0,0.44137
Seq3,Seq163,0,0.44272
Seq3,Seq164,0,0.4402
Seq3,Seq158,0,0.84483
Seq3,Seq159,2,0.84512
Seq3,Seq160,0,0.85331
Seq3,Seq166,0,0.44121
Seq3,Seq167,0,0.44043
Seq3,Seq161,0,0.84816
Seq3,Seq170,0,0.43965
Seq3,Seq168,0,0.47964
Seq3,Seq171,0,0.44453
Seq3,Seq172,0,0.43768
Seq3,Seq174,0,0.43662
Seq3,Seq173,0,0.47826
Seq3,Seq175,0,0.43321
Seq3,Seq165,0,0.8751
Seq3,Seq157,0,1.38228
Seq3,Seq177,0,0.45812
Seq3,Seq178,0,0.45719
Seq3,Seq180,0,0.45679
Seq3,Seq179,0,0.46186
Seq3,Seq181,0,0.46294
Seq3,Seq176,0,0.84109
Seq3,Seq169,0,1.31106
Seq4,Seq2,1374,1.33541
Seq4,Seq1,1370,1.36354
Seq4,Seq3,1482,1.3253
Seq4,Seq4,1485,1.32589
Seq4,Seq5,1385,1.32562
Seq4,Seq9,1247,1.20543
Seq4,Seq6,1415,1.32356
Seq4,Seq8,1393,1.33994
Seq4,Seq11,1313,1.26343
Seq4,Seq12,1362,1.30832
Seq4,Seq13,1359,1.31207
Seq4,Seq14,1350,1.32431
Seq4,Seq10,1374,1.37551
Seq4,Seq7,0,1.67849
Seq4,Seq15,1378,1.35866
Seq4,Seq16,1332,1.29373
Seq4,Seq20,1407,1.3665
Seq4,Seq21,1247,1.18686
Seq4,Seq23,1240,1.18636
Seq4,Seq22,1289,1.24299
Seq4,Seq25,1286,1.23221
Seq4,Seq24,1287,1.2456
Seq4,Seq26,1331,1.29686
Seq4,Seq27,1334,1.2936
Seq4,Seq29,1359,1.32915
Seq4,Seq28,1363,1.38249
Seq4,Seq18,1354,1.79957
Seq4,Seq17,1365,1.81654
Seq4,Seq19,1357,1.8068
Seq4,Seq30,1226,1.3383
Seq4,Seq32,1329,1.2532
Seq4,Seq31,1352,1.33763
Seq4,Seq33,1241,1.16355
Seq4,Seq35,1301,1.24883
Seq4,Seq34,1397,1.36948
Seq4,Seq36,1392,1.30793
Seq4,Seq37,1361,1.29624
Seq4,Seq38,1361,1.2928
Seq4,Seq39,1357,1.29537
Seq4,Seq40,1363,1.29586
Seq4,Seq41,1362,1.29473
Seq4,Seq45,1383,1.24508
Seq4,Seq44,1408,1.2527
Seq4,Seq42,1359,1.30529
Seq4,Seq43,1348,1.30323
Seq4,Seq46,1387,1.24892
Seq4,Seq47,1304,1.24115
Seq4,Seq48,1289,1.22709
Seq4,Seq50,1286,1.22624
Seq4,Seq51,1294,1.23377
Seq4,Seq52,1485,1.32089
Seq4,Seq53,1409,1.36564
Seq4,Seq54,1373,1.38094
Seq4,Seq56,1322,1.31368
Seq4,Seq57,1329,1.29567
Seq4,Seq61,1391,1.25574
Seq4,Seq59,1350,1.31124
Seq4,Seq58,1369,1.33211
Seq4,Seq55,1380,1.43426
Seq4,Seq60,1347,1.31608
Seq4,Seq62,1323,1.23568
Seq4,Seq49,1378,1.92394
Seq4,Seq64,1394,1.25201
Seq4,Seq63,2,1.33527
Seq4,Seq65,1323,1.24361
Seq4,Seq66,1328,1.25056
Seq4,Seq67,1384,1.2415
Seq4,Seq68,1383,1.24648
Seq4,Seq69,0,1.35428
Seq4,Seq74,1307,1.22888
Seq4,Seq72,1338,1.26136
Seq4,Seq73,1331,1.25475
Seq4,Seq78,1252,1.18026
Seq4,Seq70,0,1.37139
Seq4,Seq76,1321,1.23796
Seq4,Seq71,0,1.35168
Seq4,Seq75,0,1.2968
Seq4,Seq77,0,1.28836
Seq4,Seq79,1313,1.25174
Seq4,Seq80,1323,1.24342
Seq4,Seq81,1324,1.27195
Seq4,Seq82,1331,1.2518
Seq4,Seq83,1313,1.26381
Seq4,Seq84,0,1.33749
Seq4,Seq88,1333,1.25988
Seq4,Seq85,2,1.3552
Seq4,Seq86,0,1.36488
Seq4,Seq92,0,1.29573
Seq4,Seq87,0,1.37096
Seq4,Seq93,0,1.32388
Seq4,Seq89,0,1.36582
Seq4,Seq90,0,1.36788
Seq4,Seq91,0,1.37091
Seq4,Seq94,0,1.29993
Seq4,Seq95,0,1.29654
Seq4,Seq96,0,1.36303
Seq4,Seq105,0,0.60268
Seq4,Seq107,0,0.61605
Seq4,Seq106,0,0.61985
Seq4,Seq108,0,0.62567
Seq4,Seq104,0,0.76584
Seq4,Seq109,0,0.74785
Seq4,Seq97,0,1.35539
Seq4,Seq110,0,0.72484
Seq4,Seq98,0,1.35399
Seq4,Seq111,0,0.76089
Seq4,Seq112,0,0.7161
Seq4,Seq99,0,1.35455
Seq4,Seq124,0,0.15311
Seq4,Seq100,0,1.34664
Seq4,Seq101,0,1.3496
Seq4,Seq102,0,1.30617
Seq4,Seq125,0,0.15296
Seq4,Seq115,0,0.64552
Seq4,Seq114,0,0.65605
Seq4,Seq126,0,0.15289
Seq4,Seq116,0,0.68851
Seq4,Seq103,0,1.35613
Seq4,Seq113,0,0.75025
Seq4,Seq127,0,0.15312
Seq4,Seq128,0,0.15309
Seq4,Seq119,0,0.68509
Seq4,Seq120,0,0.68058
Seq4,Seq118,0,0.69538
Seq4,Seq117,0,0.71609
Seq4,Seq123,0,0.61535
Seq4,Seq121,0,0.76077
Seq4,Seq122,0,0.76233
Seq4,Seq130,0,0.60324
Seq4,Seq131,0,0.61678
Seq4,Seq132,0,0.61996
Seq4,Seq133,0,0.62591
Seq4,Seq129,0,0.76634
Seq4,Seq135,0,0.72606
Seq4,Seq134,0,0.7486
Seq4,Seq140,0,0.64901
Seq4,Seq139,0,0.65313
Seq4,Seq137,0,0.71673
Seq4,Seq136,0,0.7611
Seq4,Seq141,0,0.68878
Seq4,Seq138,0,0.74829
Seq4,Seq142,0,0.71847
Seq4,Seq155,0,0.15302
Seq4,Seq143,0,0.6886
Seq4,Seq144,0,0.68482
Seq4,Seq145,0,0.68085
Seq4,Seq148,0,0.61504
Seq4,Seq146,0,0.76149
Seq4,Seq147,0,0.76176
Seq4,Seq149,0,0.6871
Seq4,Seq154,0,0.61594
Seq4,Seq156,0,0.58593
Seq4,Seq153,0,0.64507
Seq4,Seq152,0,0.65705
Seq4,Seq150,0,0.71808
Seq4,Seq151,0,0.72673
Seq4,Seq162,0,0.44146
Seq4,Seq163,0,0.44301
Seq4,Seq164,0,0.4406
